emoji,hexcode,group
,F002,hfg
,F003,hfg
,F004,hfg
,F005,hfg
,F006,hfg
,F007,hfg
,F008,hfg
,F009,hfg
,F00A,hfg
,F00B,hfg
,F00C,hfg
,F00D,hfg
,F00E,hfg
,F00F,hfg
,F010,hfg
,F011,hfg
,F012,hfg
,F013,hfg
,F014,hfg
,F015,hfg
,F016,hfg
,F017,hfg
,F018,hfg
,F019,hfg
,F01A,hfg
,F01B,hfg
,F01C,hfg
,F01D,hfg
,F01E,hfg
,F01F,hfg
,F020,hfg
,F021,hfg
,F022,hfg
,F023,hfg
,F024,hfg
,F025,hfg
,F026,hfg
,F027,hfg
,F028,hfg
,F029,hfg
,F02A,hfg
,F02B,hfg
,F02C,hfg
,F02D,hfg
,F02E,hfg
,F02F,hfg
,F030,hfg
,F031,hfg
,F032,hfg
,F033,hfg
,F034,hfg
,F035,hfg
,F036,hfg
,F037,hfg
,F038,hfg
,F039,hfg
,F03A,hfg
,F03B,hfg
,F03C,hfg
,F03D,hfg
,F03E,hfg
,F03F,hfg
,F040,hfg
,F041,hfg
,F042,hfg
,F043,hfg
,F044,hfg
,F045,hfg
,F046,hfg
,F047,hfg
,F048,hfg
,F049,hfg
,F04A,hfg
,F04B,hfg
,F04C,hfg
,F04D,hfg
,F04E,hfg
,F04F,hfg
,F050,hfg
,F051,hfg
,F052,hfg
,F053,hfg
,F054,hfg
,F055,hfg
,F056,hfg
,F057,hfg
,F058,hfg
,F059,hfg
,F05A,hfg
,F05B,hfg
,F05C,hfg
,F05D,hfg
,F05E,hfg
,F05F,hfg
,F060,hfg
,F061,hfg
,F062,hfg
,F063,hfg
,F064,hfg
,F065,hfg
,F066,hfg
,F067,hfg
,F068,hfg
,F069,hfg
,F06A,hfg
,F06B,hfg
,F06C,hfg
,F06D,hfg
,F06E,hfg
,F06F,hfg
,F070,hfg
,F071,hfg
,F072,hfg
,F073,hfg
,F074,hfg
,F075,hfg
,F076,hfg
,F077,hfg
,F078,hfg
,F079,hfg
,F07A,hfg
,F07B,hfg
,F07C,hfg
,F07D,hfg
,F07E,hfg
,F07F,hfg
,F080,hfg
,F081,hfg
,F082,hfg
,F083,hfg
,F084,hfg
,F085,hfg
,F086,hfg
,F087,hfg
,F088,hfg
,F089,hfg
,F08A,hfg
,F08B,hfg
,F08C,hfg
,F08D,hfg
,F08E,hfg
,F08F,hfg
,F090,hfg
,F091,hfg
,F092,hfg
,F093,hfg
,F094,hfg
,F095,hfg
,F096,hfg
,F097,hfg
,F098,hfg
,F099,hfg
,F09A,hfg
,F09B,hfg
,F09C,hfg
,F09D,hfg
,F09E,hfg
,F09F,hfg
,F0A0,hfg
,F0A1,hfg
,F0A2,hfg
,F0A3,hfg
,F0A4,hfg
,F0A5,hfg
,F0A6,hfg
,F0A7,hfg
,F0A8,hfg
,F0A9,hfg
,F0AA,hfg
,F0AB,hfg
,F0AC,hfg
,F0AD,hfg
,F0AE,hfg
,F0AF,hfg
,F0B0,hfg
,F0B1,hfg
,F0B2,hfg
,F0B3,hfg
,F0B4,hfg
,F0B5,hfg
,F0B6,hfg
,F0B7,hfg
,F0B8,hfg
,F0B9,hfg
,F0BA,hfg
,F0BB,hfg
,F0BC,hfg
,F0BD,hfg
,F0BE,hfg
,F0BF,hfg
,F0C0,hfg
,F0C1,hfg
,F0C2,hfg
,F0C3,hfg
,F0C4,hfg
,F0C5,hfg
,F0C6,hfg
,F0C7,hfg
,F0C8,hfg
